[0mroot [6] TPulse->Scan("trigtime:time:ToT"[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[0m[38;5;83m[1m([0m"trigtime:time:ToT"[0m[38;5;83m[1m)
[0m***********************************************************
*    Row   * Instance *  trigtime *      time *       ToT *
*      182 *        0 *         0 *      4233 *        83 *
*      183 *        0 *         0 *      4231 *        84 *
*      184 *        0 *         0 *      4237 *        83 *
*      185 *        0 *         0 *       165 *        83 *
*      185 *        1 *         0 *      5279 *        83 *
*      186 *        0 *         0 *      4231 *        84 *
*      187 *        0 *         0 *      4232 *        83 *
*      188 *        0 *         0 *      4238 *        84 *
*      189 *        0 *         0 *      4236 *        83 *
*      190 *        0 *         0 *      4361 *        83 *
*      190 *        1 *         0 *      4494 *        83 *
*      191 *        0 *         0 *      4237 *        83 *
*      192 *        0 *         0 *      4239 *        83 *
*      193 *        0 *         0 *      4235 *        83 *
*      194 *        0 *         0 *      4237 *        83 *
*      195 *        0 *         0 *      4234 *        83 *
*      196 *        0 *         0 *      4234 *        83 *
*      197 *        0 *         0 *      4234 *        83 *
*      198 *        0 *         0 *      4232 *        84 *
*      199 *        0 *         0 *       235 *        83 *
*      199 *        1 *         0 *      5349 *        83 *
*      200 *        0 *         0 *      4234 *        83 *
*      201 *        0 *         0 *      4236 *        83 *
*      202 *        0 *         0 *      4232 *        84 *
*      203 *        0 *         0 *      4239 *        83 *
*      204 *        0 *         0 *      4233 *        83 *
*      205 *        0 *         0 *      4233 *        83 *
*      206 *        0 *         0 *      4234 *        83 *
*      207 *        0 *         0 *      4234 *        83 *
*      208 *        0 *         0 *      4236 *        84 *
*      209 *        0 *         0 *      4235 *        83 *
*      210 *        0 *         0 *      4234 *        83 *
*      211 *        0 *         0 *      4233 *        83 *
*      212 *        0 *         0 *      4800 *        83 *
*      212 *        1 *         0 *      5371 *        83 *
*      213 *        0 *         0 *      4236 *        83 *
*      214 *        0 *         0 *      4239 *        83 *
*      215 *        0 *         0 *      4235 *        83 *
*      216 *        0 *         0 *      4233 *        84 *
*      217 *        0 *         0 *      4237 *        83 *
*      218 *        0 *         0 *      4239 *        83 *
*      219 *        0 *         0 *      4238 *        83 *
*      220 *        0 *         0 *      4233 *        83 *
*      221 *        0 *         0 *      4234 *        83 *
*      222 *        0 *         0 *      4236 *        84 *
*      223 *        0 *         0 *      4237 *        83 *
